Atomic Number,Symbol,Max Radius,Min Radius
1,H,0.7,0.37
2,He,0.46,1.8
3,Li,1.33,1.24
4,Be,1.02,0.85
5,B,0.85,0.73
6,C,0.75,0.6
7,N,0.71,0.54
8,O,0.63,0.53
9,F,0.64,0.53
10,Ne,0.67,0.96
11,Na,1.55,1.6
12,Mg,1.39,1.27
13,Al,1.26,1.11
14,Si,1.16,1.02
15,P,1.11,0.94
16,S,1.03,0.95
17,Cl,0.99,0.93
18,Ar,0.96,1.07
19,K,1.96,1.93
20,Ca,1.71,1.33
21,Sc,1.48,1.14
22,Ti,1.36,1.08
23,V,1.34,1.06
24,Cr,1.22,1.03
25,Mn,1.19,1.03
26,Fe,1.16,1.02
27,Co,1.11,0.96
28,Ni,1.1,1.02
29,Cu,1.2,1.12
30,Zn,1.31,1.18
31,Ga,1.24,1.21
32,Ge,1.21,1.14
33,As,1.21,1.06
34,Se,1.16,1.07
35,Br,1.14,1.1
36,Kr,1.17,1.08
37,Rb,2.1,2.02
38,Sr,1.85,1.39
39,Y,1.63,1.24
40,Zr,1.54,1.21
41,Nb,1.45,1.0
42,Mo,1.38,1.13
43,Tc,1.28,1.1
44,Ru,1.25,1.03
45,Rh,1.25,1.06
46,Pd,1.2,1.12
47,Ag,1.28,1.37
48,Cd,1.44,1.36
49,In,1.46,1.42
50,Sn,1.4,1.32
51,Sb,1.4,1.27
52,Te,1.36,1.21
53,I,1.33,1.25
54,Xe,1.31,1.22
55,Cs,2.32,2.09
56,Ba,1.96,1.49
57,La,1.8,1.39
58,Ce,1.63,1.31
59,Pr,1.76,1.28
60,Nd,1.74,1.37
61,Pm,1.73,1.35
62,Sm,1.72,1.34
63,Eu,1.68,1.34
64,Gd,1.68,1.32
65,Tb,1.68,1.35
66,Dy,1.67,1.33
67,Ho,1.66,1.33
68,Er,1.65,1.33
69,Tm,1.64,1.31
70,Yb,1.7,1.29
71,Lu,1.62,1.31
72,Hf,1.52,1.22
73,Ta,1.46,1.19
74,W,1.37,1.15
75,Re,1.31,1.1
76,Os,1.29,1.09
77,Ir,1.22,1.07
78,Pt,1.23,1.1
79,Au,1.45,1.3
80,Hg,1.42,1.33
81,Tl,1.5,1.44
82,Pb,1.44,1.37
83,Bi,1.51,1.35
84,Po,1.45,1.29
85,At,1.47,1.38
86,Rn,1.42,1.33
87,Fr,2.23,2.18
88,Ra,2.01,1.59
89,Ac,1.86,1.4
90,Th,1.75,1.36
91,Pa,1.69,1.29
92,U,1.7,1.18
93,Np,1.71,1.16
94,Pu,1.72,1.35
